AkshayM,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14
lucknow super giants,,,,,,,,,,,,,,
nicholas pooran,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,24.0,24.0
rishabh pant,0.0,0.0,0.0,0.0,22.0,22.0,22.0,22.0,195.0,195.0,195.0,195.0,208.0,208.0
aiden markram,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,128.0,128.0,128.0,128.0,184.0,184.0
sameer rizvi,0.0,0.0,0.0,0.0,148.0,148.0,148.0,374.0,374.0,374.0,374.0,354.0,354.0,354.0
washington sundar,0.0,0.0,0.0,66.0,66.0,66.0,66.0,75.0,75.0,75.0,75.0,199.0,199.0,199.0
lungi ngidi,0.0,0.0,0.0,0.0,105.0,105.0,105.0,136.0,136.0,136.0,136.0,191.0,191.0,191.0
mohammed shami,0.0,0.0,0.0,0.0,45.0,45.0,45.0,45.0,171.0,171.0,171.0,171.0,207.0,207.0
nitish kumar reddy,-1.0,-1.0,-1.0,-1.0,-1.0,151.0,151.0,136.0,279.0,279.0,279.0,279.0,279.0,279.0
phil salt,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,164.0,164.0,164.0,164.0,164.0,144.0
jaydev unadkat,41.0,41.0,41.0,41.0,41.0,177.0,177.0,177.0,155.0,155.0,155.0,155.0,155.0,155.0
rovman powell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,99.0
devdutt padikkal,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,358.0,358.0,358.0,358.0,358.0,389.0
mukesh choudhary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
