Naren,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22
kolkata knight riders,,,,,,,,,,,,,,,,,,,,,,
sunil narine,0.0,18.0,18.0,18.0,18.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,132.0,132.0,132.0,132.0,132.0,240.0,240.0,240.0,264.0,264.0
varun chakravarthy,0.0,-20.0,-20.0,-20.0,-20.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-30.0,-30.0,-30.0,27.0,27.0
marcus stoinis,0.0,0.0,0.0,-21.0,-21.0,-21.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,3.0,3.0,3.0,3.0,3.0,25.0,25.0,25.0
nitish rana,0.0,0.0,0.0,0.0,19.0,19.0,19.0,13.0,13.0,13.0,13.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
shashank singh,0.0,0.0,0.0,4.0,4.0,4.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,143.0,143.0,143.0,143.0,143.0,179.0,179.0,179.0
ajinkya rahane,0.0,154.0,154.0,154.0,154.0,176.0,176.0,176.0,176.0,189.0,189.0,189.0,279.0,279.0,279.0,279.0,279.0,330.0,330.0,330.0,310.0,310.0
tim seifert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0
heinrich klaasen,89.0,89.0,89.0,89.0,89.0,197.0,197.0,197.0,327.0,327.0,327.0,327.0,327.0,327.0,402.0,402.0,485.0,485.0,485.0,485.0,485.0,641.0
finn allen,0.0,94.0,94.0,94.0,94.0,179.0,179.0,179.0,179.0,186.0,186.0,186.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0
khaleel ahmed,0.0,0.0,27.0,27.0,27.0,27.0,24.0,24.0,23.0,23.0,23.0,23.0,23.0,23.0,28.0,28.0,28.0,79.0,79.0,79.0,79.0,79.0
mukesh kumar,0.0,0.0,0.0,0.0,40.0,40.0,40.0,131.0,131.0,131.0,131.0,154.0,154.0,154.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,185.0
auqib nabi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,-3.0
mayank yadav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
