Vasan,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23
rajasthan royals,,,,,,,,,,,,,,,,,,,,,,,
yashasvi jaiswal,0.0,0.0,13.5,13.5,13.5,13.5,13.5,39.0,39.0,39.0,80.5,80.5,80.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,104.5
shimron hetmyer,0.0,0.0,1.0,1.0,1.0,1.0,1.0,13.0,13.0,13.0,15.5,15.5,15.5,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
ravindra jadeja,0.0,0.0,18.0,18.0,18.0,18.0,18.0,25.0,25.0,25.0,25.0,25.0,25.0,33.0,33.0,33.0,45.5,45.5,45.5,45.5,45.5,45.5,65.0
mohammed siraj,0.0,0.0,0.0,6.0,6.0,6.0,6.0,23.0,23.0,23.0,23.0,34.5,34.5,34.5,34.5,51.0,51.0,51.0,51.0,51.0,77.0,77.0,77.0
khaleel ahmed,0.0,0.0,10.0,10.0,10.0,10.0,19.0,19.0,28.0,28.0,28.0,28.0,28.0,28.0,34.5,34.5,34.5,50.0,50.0,50.0,50.0,50.0,50.0
vaibhav arora,0.0,11.5,11.5,11.5,11.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,46.5,46.5,46.5,46.5,46.5,59.5,59.5,59.5,70.0,70.0,75.0
m s dhoni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jamie overton,0.0,0.0,13.0,13.0,13.0,13.0,13.0,13.0,38.5,38.5,38.5,38.5,38.5,38.5,68.0,68.0,68.0,76.5,76.5,76.5,76.5,94.5,94.5
pathum nissanka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,18.5,18.5,18.5,37.0,37.0,37.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,61.5,61.5
liam livingstone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,13.5,13.5
omkar tarmale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rahul chahar,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
devdutt padikkal,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,63.5,63.5,63.5,63.5,63.5,71.0,71.0,71.0,71.0,71.0,76.0,76.0,76.0,82.0,82.0
sandeep sharma,0.0,0.0,6.5,6.5,6.5,6.5,6.5,13.0,13.0,13.0,25.0,31.5,31.5,42.0,42.0,42.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
abdul samad,0.0,0.0,0.0,0.0,13.5,13.5,13.5,13.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5
