Vasanth,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,day_32,day_33
chennai super kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanju samson,0.0,0.0,2.5,2.5,2.5,2.5,5.0,5.0,8.5,8.5,8.5,8.5,8.5,8.5,60.0,60.0,60.0,80.5,80.5,80.5,80.5,86.5,86.5,86.5,86.5,86.5,137.5,137.5,137.5,145.0,145.0,145.0,145.0
ruturaj gaikwad,0.0,0.0,2.5,2.5,2.5,2.5,8.5,8.5,12.0,12.0,12.0,12.0,12.0,12.0,14.5,14.5,14.5,19.5,19.5,19.5,19.5,32.0,32.0,32.0,32.0,32.0,43.0,43.0,43.0,72.0,72.0,71.14285714285714,71.14285714285714
dewald brevis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,7.5,27.0,27.0,27.0,27.0,32.0,32.0,32.0,32.0,32.0,44.0,44.0,44.0,46.5,46.5,46.5,46.5
vyshak vijaykumar,0.0,0.0,0.0,18.5,18.5,18.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,36.5,36.5,36.5,36.5,36.5,43.5,43.5,43.5,56.0,56.0,56.0,56.0,56.0,56.0,60.0,60.0,60.0,58.285714285714285,58.285714285714285
jacob duffy,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5
suyash sharma,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,22.0,22.0,22.0,22.0,22.0,22.0,22.0,35.0,35.0,35.0,42.0,42.0,42.0,45.0,45.0,45.0,45.0,45.0,45.0,53.5,53.5,77.0,77.0,77.0,77.0
rishabh pant,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,34.5,34.5,34.5,34.5,37.0,37.0,37.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,65.5,65.5,65.5,70.5,70.5,70.5,70.5,89.0,89.0,86.42857142857143,86.42857142857143
t natarajan,0.0,0.0,0.0,0.0,18.5,18.5,18.5,26.0,26.0,26.0,26.0,30.0,30.0,30.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,40.5,40.5,40.5,43.5,43.5,43.5,43.5,48.5,52.0,52.0,52.0,52.0
arshdeep singh,0.0,0.0,0.0,14.0,14.0,14.0,23.0,23.0,23.0,25.0,25.0,25.0,25.0,25.0,44.5,44.5,44.5,44.5,44.5,68.0,68.0,68.0,79.5,79.5,79.5,79.5,79.5,79.5,86.0,86.0,86.0,95.5,95.5
avesh khan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,27.5,27.5,27.5,35.5,35.5,35.5,52.5,52.5,52.5,52.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5
marcus stoinis,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,26.5,26.5,26.5,26.5,26.5,26.5,28.5,28.5,28.5,58.642857142857146,58.642857142857146
mangesh yadav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heinrich klaasen,13.5,13.5,13.5,13.5,13.5,27.0,27.0,27.0,46.5,46.5,46.5,46.5,46.5,46.5,55.0,55.0,68.0,68.0,68.0,68.0,68.0,95.0,95.0,95.0,113.0,113.0,113.0,113.0,129.0,129.0,129.0,129.0,165.5
angkrish raghuvanshi,0.0,22.0,22.0,22.0,22.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,66.0,66.0,66.0,66.0,66.0,77.0,77.0,77.0,82.0,82.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,89.5,89.5,89.5,89.5
washington sundar,0.0,0.0,0.0,17.0,17.0,17.0,17.0,19.5,19.5,19.5,19.5,42.5,42.5,42.5,42.5,53.5,53.5,53.5,53.5,53.5,56.0,56.0,56.0,69.5,69.5,69.5,69.5,78.0,78.0,78.0,78.0,78.0,78.0
