mahaarajanmg,day_0,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16
devon conway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glenn phillips,0.0,0.0,114.0,114.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,424.0,424.0,424.0,424.0,424.0,424.0
george linde,0.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,91.0,91.0,91.0,91.0,91.0
axar patel,0.0,105.0,105.0,105.0,105.0,105.0,203.0,203.0,203.0,259.0,259.0,259.0,259.0,259.0,259.0,259.0,259.0
keshav maharaj,0.0,0.0,0.0,17.0,17.0,114.0,114.0,114.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,240.0
ben duckett,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arshdeep singh,0.0,105.0,105.0,105.0,105.0,105.0,117.0,117.0,117.0,117.0,117.0,117.0,132.0,132.0,132.0,132.0,208.0
shai hope,0.0,20.0,20.0,20.0,20.0,-1.0,-1.0,-1.0,-1.0,138.0,138.0,138.0,138.0,349.0,349.0,349.0,349.0
rahmanullah gurbaz,0.0,0.0,47.0,47.0,47.0,341.0,341.0,341.0,341.0,341.0,380.0,380.0,380.0,440.0,440.0,440.0,440.0
eshan malinga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
babar azam,0.0,30.0,30.0,30.0,116.0,116.0,116.0,116.0,116.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0
